"geoid","income_recode","size_recode","ipf"
"11001009903",1,2,8
"11001009903",2,2,5
"11001009903",3,2,7
"11001009903",4,2,8
"11001009903",5,2,19
"11001009903",6,2,4
"11001009903",7,2,29
"11001009903",8,2,11
"11001009903",9,2,17
"11001009903",1,3,8
"11001009903",2,3,5
"11001009903",3,3,47
"11001009903",4,3,41
"11001009903",5,3,62
"11001009903",6,3,2
"11001009903",7,3,54
"11001009903",8,3,14
"11001009903",9,3,28
"11001009903",1,4,4
"11001009903",2,4,2
"11001009903",3,4,5
"11001009903",4,4,6
"11001009903",5,4,10
"11001009903",6,4,1
"11001009903",7,4,12
"11001009903",8,4,4
"11001009903",9,4,10
"11001009903",1,5,4
"11001009903",2,5,2
"11001009903",3,5,8
"11001009903",4,5,13
"11001009903",5,5,27
"11001009903",6,5,1
"11001009903",7,5,16
"11001009903",8,5,9
"11001009903",9,5,13
"11001009902",1,1,41
"11001009902",2,1,47
"11001009902",3,1,21
"11001009902",4,1,18
"11001009902",5,1,80
"11001009902",6,1,60
"11001009902",7,1,108
"11001009902",8,1,29
"11001009902",9,1,24
"11001009902",1,2,77
"11001009902",2,2,24
"11001009902",3,2,50
"11001009902",4,2,42
"11001009902",5,2,75
"11001009902",6,2,54
"11001009902",7,2,162
"11001009902",8,2,31
"11001009902",9,2,8
"11001009902",1,3,27
"11001009902",2,3,9
"11001009902",3,3,19
"11001009902",4,3,22
"11001009902",5,3,13
"11001009902",6,3,19
"11001009902",7,3,32
"11001009902",8,3,11
"11001009902",9,3,5
"11001009902",1,4,39
"11001009902",2,4,7
"11001009902",3,4,23
"11001009902",4,4,24
"11001009902",5,4,24
"11001009902",6,4,20
"11001009902",7,4,56
"11001009902",8,4,8
"11001009902",9,4,3
"11001009902",1,5,0
"11001009902",2,5,0
"11001009902",3,5,0
"11001009902",4,5,0
"11001009902",5,5,0
"11001009902",6,5,0
"11001009902",7,5,0
"11001009902",8,5,0
"11001009902",9,5,0
"11001009901",1,1,16
"11001009901",2,1,54
"11001009901",3,1,13
"11001009901",4,1,11
"11001009901",5,1,51
"11001009901",6,1,29
"11001009901",7,1,74
"11001009901",8,1,45
"11001009901",9,1,70
"11001009901",1,2,22
"11001009901",2,2,29
"11001009901",3,2,24
"11001009901",4,2,22
"11001009901",5,2,39
"11001009901",6,2,22
"11001009901",7,2,92
"11001009901",8,2,58
"11001009901",9,2,25
"11001009901",1,3,12
"11001009901",2,3,10
"11001009901",3,3,14
"11001009901",4,3,16
"11001009901",5,3,10
"11001009901",6,3,10
"11001009901",7,3,25
"11001009901",8,3,19
"11001009901",9,3,15
"11001009901",1,4,8
"11001009901",2,4,8
"11001009901",3,4,9
"11001009901",4,4,9
"11001009901",5,4,9
"11001009901",6,4,7
"11001009901",7,4,21
"11001009901",8,4,16
"11001009901",9,4,10
"11001009901",1,5,5
"11001009901",2,5,4
"11001009901",3,5,2
"11001009901",4,5,5
"11001009901",5,5,4
"11001009901",6,5,5
"11001009901",7,5,7
"11001009901",8,5,11
"11001009901",9,5,7
"11001009811",1,1,143
"11001009811",2,1,134
"11001009811",3,1,98
"11001009811",4,1,129
"11001009811",5,1,279
"11001009811",6,1,75
"11001009811",7,1,21
"11001009811",8,1,12
"11001009811",9,1,38
"11001009811",1,2,113
"11001009811",2,2,40
"11001009811",3,2,60
"11001009811",4,2,75
"11001009811",5,2,106
"11001009811",6,2,43
"11001009811",7,2,18
"11001009811",8,2,10
"11001009811",9,2,11
"11001009811",1,3,50
"11001009811",2,3,16
"11001009811",3,3,33
"11001009811",4,3,48
"11001009811",5,3,24
"11001009811",6,3,19
"11001009811",7,3,7
"11001009811",8,3,5
"11001009811",9,3,7
"11001009811",1,4,14
"11001009811",2,4,4
"11001009811",3,4,5
"11001009811",4,4,7
"11001009811",5,4,8
"11001009811",6,4,7
"11001009811",7,4,3
"11001009811",8,4,2
"11001009811",9,4,4
"11001009811",1,5,46
"11001009811",2,5,10
"11001009811",3,5,18
"11001009811",4,5,53
"11001009811",5,5,26
"11001009811",6,5,13
"11001009811",7,5,2
"11001009811",8,5,3
"11001009811",9,5,4
"11001009810",1,1,81
"11001009810",2,1,151
"11001009810",3,1,67
"11001009810",4,1,42
"11001009810",5,1,210
"11001009810",6,1,3
"11001009810",7,1,62
"11001009810",8,1,0
"11001009810",9,1,12
"11001009810",1,2,87
"11001009810",2,2,52
"11001009810",3,2,69
"11001009810",4,2,52
"11001009810",5,2,108
"11001009810",6,2,2
"11001009810",7,2,52
"11001009810",8,2,0
"11001009810",9,2,4
"11001009810",1,3,17
"11001009810",2,3,8
"11001009810",3,3,11
"11001009810",4,3,13
"11001009810",5,3,9
"11001009810",6,3,1
"11001009810",7,3,11
"11001009810",8,3,0
"11001009810",9,3,2
"11001009810",1,4,26
"11001009810",2,4,8
"11001009810",3,4,12
"11001009810",4,4,13
"11001009810",5,4,15
"11001009810",6,4,1
"11001009810",7,4,9
"11001009810",8,4,0
"11001009810",9,4,1
"11001009810",1,5,13
"11001009810",2,5,5
"11001009810",3,5,4
"11001009810",4,5,9
"11001009810",5,5,8
"11001009810",6,5,1
"11001009810",7,5,5
"11001009810",8,5,0
"11001009810",9,5,1
"11001009807",1,1,180
"11001009807",2,1,11
"11001009807",3,1,188
"11001009807",4,1,31
"11001009807",5,1,106
"11001009807",6,1,205
"11001009807",7,1,80
"11001009807",8,1,28
"11001009807",9,1,50
"11001009807",1,2,37
"11001009807",2,2,4
"11001009807",3,2,15
"11001009807",4,2,13
"11001009807",5,2,25
"11001009807",6,2,33
"11001009807",7,2,36
"11001009807",8,2,14
"11001009807",9,2,12
"11001009807",1,3,80
"11001009807",2,3,2
"11001009807",3,3,69
"11001009807",4,3,33
"11001009807",5,3,16
"11001009807",6,3,50
"11001009807",7,3,24
"11001009807",8,3,11
"11001009807",9,3,10
"11001009807",1,4,64
"11001009807",2,4,1
